species,bill.length.nares.to.tip,length.index,bill.width.at.nares,width.index,bill.depth.at.nares,depth.index,bill.curvature,primary.length,tail.length,tarsus.length,midtoe.length,hindtoe.length,total.length,mass,wing.index
Acanthagenys_rufogularis,11.14,58.05,4.07,65.97,5.14,58.94,1.07,111.25,107.17,24.01,16.42,10.96,239.59,45.01,21.18
Acanthorhynchus_superciliosus,15.59,33.46,2.55,50.47,3.01,41.33,1.06,60.01,54.34,18.6,10.43,7.72,132.69,10.15,16.39
Acanthorhynchus_tenuirostris,18.28,31.92,2.39,52.38,2.89,31.35,1.05,64.68,54.46,17.53,10.08,7.75,135.27,10.71,19.75
Anthochaera_chrysoptera,12.28,61.56,4.56,63.65,5.81,58.14,1.08,120.49,133.95,26.79,16.47,13.13,276.26,69.35,17.72
Anthochaera_lunulata,13.77,59.56,4.46,60.69,5.73,55.78,1.06,119.09,134.35,26.08,17.69,12.41,285.01,59.91,15.82
Anthochaera_paradoxa,11.85,64.82,5.3,60.4,6.59,57.37,1.05,180.44,237.03,38.36,25.04,20.02,440.42,163.28,19.87
Anthochaera_phrygia,8.56,62.7,3.69,63.28,4.36,58.42,1.08,107.67,92.37,21.41,15.16,10.85,197.31,41.64,25.76
Ashbyia_lovensis,7.93,45.35,3.57,49.75,3.7,57.99,1.05,70.67,40.63,20.66,11.41,7.91,119.16,17.89,7.52
Bolemoreus_frenatus,11.06,56.86,3.6,62.47,4.99,50.32,1.05,99.44,85.57,23.97,13.61,10.53,184.99,33.49,19.73
Caligavis_chrysops,7.37,55.55,2.78,56.51,3.46,46.08,1.08,79.65,70.4,18.64,10.41,7.25,147.24,16.89,20.91
Certhionyx_variegatus,11.2,46.59,3.72,55.99,3.72,53.18,1.08,83.32,66.4,19.12,12.8,8.67,159.53,26.8,25.91
Cissomela_pectoralis,7.73,51.5,2.36,60.24,3.02,53.01,1.06,65.14,41.26,14.51,8.9,6.3,109.6,9.7,19.17
Conopophila_albogularis,7.74,49.07,3.08,55,3.13,55.16,1.04,65.42,45.72,16.8,10.48,7.5,120.56,11.02,14.22
Conopophila_rufogularis,7.14,49,2.97,53.6,3,53.27,1.06,69.43,48.33,16.11,10.63,7.2,124.7,10.34,16.1
Conopophila_whitei,5.56,52.34,2.9,48.29,3.05,53.65,1.06,60.35,41.73,14.57,9.69,6.74,103.82,10.31,14.79
Entomyzon_cyanotis,17.22,50.48,5.67,52.97,7.36,41.09,1.05,149.39,112.39,33.19,23.8,18.47,266.6,110.12,22.92
Epthianura_aurifrons,7.56,43.72,2.75,55.11,2.83,64.2,1.03,61.46,38.39,17.37,9.62,6.36,106.41,10.1,11.16
Epthianura_crocea,7.4,47.22,3.04,50.46,2.85,60.61,1.05,58.43,37.43,18.08,11.79,7.68,106.74,9.29,15.74
Epthianura_tricolor,7.77,47.58,2.98,51.74,2.7,63.52,1.04,67.13,40.56,17.55,9.88,6.51,111.03,9.94,16.73
Gavicalis_fasciogularis,9.09,56.67,3.65,60.87,4.51,52.92,1.04,89.82,79.38,24.49,13.85,10.41,180.25,27.97,14.4
Gavicalis_versicolor,12.26,51.94,4.2,59.47,5.3,58.79,1.05,97.25,83.31,25.61,15.3,11.61,183.18,34.1,17.57
Gavicalis_virescens,9.08,54.14,3.31,57.29,4.09,51.68,1.05,88.82,80.75,22.87,13.94,9.15,175.72,25.11,16.59
Gliciphila_melanops,11.83,44.95,2.92,58.6,3.76,52.18,1.06,78.07,68.19,21.3,13.27,8.32,152.55,17.57,20.14
Glycichaera_fallax,7.78,46.98,2.8,54.39,3.07,50.98,1.04,56.79,41.74,17.3,9.13,6.65,105.9,10.23,9.56
Grantiella_picta,8.99,48.89,3.71,57.37,4.42,51.93,1.05,89.04,54.33,17.19,11.79,8.15,140.23,20.42,26.12
Lichenostomus_cratitius,7.75,58.99,3.15,58.97,3.81,52.85,1.07,82.21,76.22,21.28,12.72,8.8,165.07,21.17,20.58
Lichenostomus_melanops,8.01,56.7,3.22,56.7,4.42,50.94,1.06,84.09,87.09,21.83,12.84,8.91,178.82,23.57,21.17
Lichmera_indistincta,8.33,53.66,2.4,64.59,3.08,53.21,1.05,63.38,51.23,15.91,9.26,7.29,114.72,10.3,16.04
Manorina_flavigula,12.07,54.34,4.41,62.88,5.75,47.88,1.07,125.71,109.73,29.33,18.18,14.85,238.86,57.32,22.83
Manorina_melanocephala,10.71,55.59,4.45,55.05,5.97,42.86,1.05,131.07,118.3,29.45,18.44,15.02,251.17,63.87,22.35
Manorina_melanophrys,7.07,59.61,3.42,56.4,5.22,46.9,1.05,92.44,81.87,23.03,14.01,10.7,168.28,30.81,17.99
Manorina_melanotis,12.23,53.27,4.63,58.89,5.42,53.89,1.04,120.44,104.37,26.6,16.54,13.7,226.77,52.8,21.57
Meliphaga_lewinii,9.75,56.8,3.45,64.57,4.66,48.85,1.06,96.18,85.02,24.01,14.07,9.75,190.33,34.27,17.6
Melithreptus_affinis,6.82,53.09,3.24,54.67,3.64,51.45,1.03,75.36,60.43,17.7,9.78,8.18,135.61,14.78,25.41
Melithreptus_albogularis,7.7,49.79,3,59.54,3.5,52.34,1.04,71.09,54.62,15.96,8.98,7.08,122.37,12.81,20.98
Melithreptus_brevirostris,7.86,48.48,3.33,58.07,3.81,55.42,1.04,68.45,56.71,15.95,10.28,7.93,124.2,14.13,19.67
Melithreptus_chloropsis,8.6,50.14,3.51,55.8,3.84,56.36,1.05,77.45,60.64,17.59,9.68,8.02,138.94,14.55,24.52
Melithreptus_gularis,8.47,47.94,3.67,49.11,4.22,47.95,1.03,83.31,61.61,19.03,12.34,9.57,144,19.66,27.51
Melithreptus_lunatus,6.98,53.34,2.98,56.75,3.45,51.63,1.04,73.78,57.54,17.11,9.84,7.48,128.31,13.92,27.65
Melithreptus_validirostris,10.15,49.41,4.45,53.14,4.74,49.82,1.02,78.38,64.56,19.38,11.38,9.56,150.88,25.36,22.75
Microptilotis_albilineata,9.76,53.37,3.48,60.81,3.42,58.44,1.06,80.2,73.6,19.44,11.55,9.58,166.39,22.1,12.09
Microptilotis_fordiana,11.61,49.3,3.55,61.44,4.27,46.56,1.06,82.95,72.12,21.44,12.23,9.32,158.59,25.03,16.17
Microptilotis_gracilis,10.4,50.74,3.05,60.56,3.74,54.53,1.06,69.45,57.29,18.83,10.63,8.19,130.83,14.86,14.68
Myzomela_erythrocephala,9.38,43.28,2.6,56.97,2.75,54.69,1.05,56.1,39.59,14.53,9.27,6.7,108.01,7.69,14.96
Myzomela_obscura,11.39,41.37,2.87,57.34,3.33,51.2,1.07,66.72,52.4,16.91,10.33,7.56,126.04,11.97,15.34
Myzomela_sanguinolenta,8.07,43.57,2.44,60.71,2.6,58.61,1.06,56.33,36.59,13.22,8.36,5.62,93.39,7.8,20.16
Nesoptilotis_flavicollis,7.34,61.89,3.03,63.97,3.79,55.51,1.06,98.25,92.04,23.55,13.81,11.76,192.89,29.22,21.81
Nesoptilotis_leucotis,7.11,60.04,2.65,65.82,3.5,59.88,1.05,85.83,81.98,19.66,12.77,8.47,171.06,20.27,19.93
Philemon_argenticeps,17.96,51.46,5.47,61.12,8.54,48.34,1.04,131.95,109.35,31.08,19.85,14.61,265.71,82.97,20.1
Philemon_buceroides,22.37,50.26,6.44,60.72,10.68,48.95,1.05,141.21,120.13,35.23,22.13,16.55,303.87,112.07,17.41
Philemon_citreogularis,15.36,50.42,4.93,62.47,6.56,47.43,1.05,130.71,105.09,27.79,19.03,13.49,242.51,66.9,21.96
Philemon_corniculatus,18.72,48.5,5.85,54,8.42,28.46,1.07,147.43,125.37,30.95,20.94,15.48,301.4,103.68,20.81
Phylidonyris_nigra,11.36,54.02,3.12,61.17,4.03,50.65,1.07,73.07,70.98,20.23,12.02,8.91,154.49,17.96,19.91
Phylidonyris_novaehollandiae,10.12,56.91,2.9,65.24,4.02,50.78,1.06,75.93,77.86,21.67,12.27,9.79,162.51,19.74,20.73
Phylidonyris_pyrrhoptera,8.97,56.97,2.46,61.52,3.52,49.4,1.05,69.83,60.37,19.34,11.49,8.58,133.84,15.43,19.66
Ptilotula_flavescens,7.02,52.99,2.71,58.15,3.22,48.7,1.05,69.11,59.02,16.84,10.03,6.85,133.9,12.17,19.32
Ptilotula_fusca,6.88,55.48,2.95,59.83,3.7,51.29,1.06,79.02,66.38,18.21,10.68,7.63,143.66,16.34,21.81
Ptilotula_keartlandi,7.63,53.94,2.84,60.27,3.53,55.95,1.05,74.78,60.25,19.43,11.76,8.04,143.69,15.29,22.62
Ptilotula_ornata,7.12,56.51,2.87,62.41,3.54,56.18,1.06,81.19,69.4,18.73,11.54,8.08,155.48,17.52,24.02
Ptilotula_penicillata,7.36,55.61,3.1,56.13,3.67,55.8,1.07,79.08,71.06,19.53,12.62,8.55,150.5,18.39,21.11
Ptilotula_plumula,6.95,57.13,2.93,57.32,3.48,48.29,1.05,75.88,65.45,19.4,12.03,8.58,152.99,16.17,19.48
Purnella_albifrons,9.86,52.65,2.98,58.96,3.88,47.01,1.08,78.21,72.35,19.62,12.35,8.28,153.91,16.61,17.79
Ramsayornis_fasciatus,8.99,47.14,3.17,50.9,3.35,57.84,1.07,69.71,48.73,16.49,10.43,7.82,116,12.74,19.27
Ramsayornis_modestus,9.03,45.65,3.29,51.74,3.51,56.34,1.06,64.42,42.76,15.51,9.74,7.5,105.1,10.35,20.62
